id,text,,,,
1367776899217448961,"Jair Bolsonaro: \n“Onde tiver vacina para comprar, nós vamos comprar. Eu não estou negando o vírus. Muito pelo contrário. Estou dizendo que temos que enfrentar os problemas. Se todo mundo ficar em casa, vai morrer todo mundo de fome.”",,,,
1367776892347092996,"@Rconstantino Bordel é o Palácio do Planalto!!\nE a dona do puteiro está dando chilique ...\nCadê as vacinas, seu merda!!!\nAHHH.... Vc já se vacinou e fica aí recebendo verba pública da SECOM pra falar merda!!!",,,,
1367776880615686145,"@ildeubasilio @Crikasetembro @elizia_leite @Efa68816069 Tbm fiquei nessa dúvida! A cardiologista do meu pai, me orientou: “a vacina pode dar reação sim, e é opcional! Se ele pegar o vírus o sofrimento será muito maior”!\nAí decidi vacinar ele com 92 anos, e não teve nenhuma reação com astraZeneca!",,,,
1367776879839752193,"@jairbolsonaro COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
1367776879420321792,Presidente do Senado diz esperar que ministério demonstre 'com ações' que não é 'negacionista' | Política | G1 https://t.co/muBDSXWqsH,,,,
1367776877998379009,"A hipocrisia do poder público no combate à Covid-19, é o retrato falado de um governo de merda!!!!",,,,
1367776867122548736,Hospitais recebem verbas extras quando a internaçao é por covid. Ditadoria corta milhões da saúde. Hospitais necessitam das verbas. Casos de covid explodem. É silogismo que fala?!?,,,,
1367776863960104963,@g1_sptv a conta e todo esse crescimento dos casos de covid está sendo paga pelos Comerciantes e ficaram de portas fechadas por duas semanas!\nSe você tá chegando agora para ficar com a gente conferir o que é essencial ou não essencial afinal?,,,,
1367776861321846787,"@MarceloFreixo @jairbolsonaro Uma das raras vezes em que concordo com o presidente! Chega de mimimi, Bolsonaro! Para de dizer que não pode fazer nada, vai buscar vacina, manda o Pazuello centralizar esforços, o ministro das comunicações fazer campanha... vai trabalhar vagabundo!!!",,,,
1367776853197529091,"Dois assessores de um mesmo senador morrem de Covid-19: https://t.co/S75QIbru5y Famílias continuam sendo destruídas. Infelizmente, #Bolsonaro, não se trata de apenas uma simples gripezinha. Quando contará isso aos seus eleitores?",,,,
1367776850878070784,"Tem q se fuder e morrer de covid, simples https://t.co/hPD9HrgFTM",,,,
1367776847510052864,"@italobenassi @Otaviob13O se tudo der certo, da pra dar essa vacina letal em varios em",,,,
1367776843399585795,Veja as falas de Bolsonaro sobre as vacinas contra a Covid-19 | G1 / Política | G1 @M https://t.co/mMVgMyMMvX,,,,
1367776817822711808,"@eumanosilva Significado de Variante\n\nAdjetivo\nQue varia, que muda, que tem capacidade de se alterar; variável.Que se afasta de um modelo ou padrão.\n\nSubstantivo feminino\nO que resulta de uma variação ou do afastamento de um padrão: o coronavírus e suas variantes.",,,,
1367776817147502593,"@jairbolsonaro COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
1367776815692066817,@sandro_cezzar @jsgjunior10 @vitorsergio de querer fechar tudo quando a vacina chinesa chegou só sabiam mandar um chupa Bolsonaro e etc...agora ficam com esse papinho de fechar...como se estivessem preocupados com vidas tudo HIPOCRISIA né senhor @vitorsergio ?,,,,
1367776814714732548,@gustavocastanon o @reinaldoazevedo fala em um \nCovid-nunca-mais\ncom os nomes e sobrenomes de todos os (i)responsáveis\npra ficar na história,,,,
1367776797551648771,"Covid-19: Brasil tem 1.699 mortes em 24h e passa das 260 mil. https://t.co/R48Nk0kwB9 Não podemos ""baixar a guarda""; não podemos também carregar essa culpa. #FiqueEmCasa #UseMascara #UseAlcoolGel #LaveAsMaos #DistanciamentoSocial Vamos cuidar, pelo menos, das pessoas que amamos.",,,,
1367776783546937344,Então nas cabeças dos esquerdopatas da extrema imprensa e dos supremos militantes só tem vacina disponível pro Brasil e Bolsonaro q não quer comprar? Pro resto do mundo não tem mas pra gente tá lá prontinha já. Ah! Merkel disse q não vai tomar.\nhttps://t.co/D9xXZRVGM4,,,,
1367776780254404612,Prefeita de Rancho Queimado fala sobre tratamento precoce adotado contra a Covid-19 https://t.co/gtF6wVvsJh via @nd_mais_,,,,
1367776778236944394,"agora o nosso excelentíssimo presidente dizer que isso tudo é mimimi, vai toma no cu bolsonaro eu já perdi meu tio e amigo e familiares por causa da COVID, seu presidente arrombado do caralho.",,,,
1367776749040398338,"@Sen_Oriovisto @PatriotaSempre2 O senado tem se apresentado covarde e inútel. Espero que a CPI seja para investigar governadores e prefeitos pq é  deles toda e qq responsabilidade de mortes por covid e ""possíveis"" desvios de recursos públicos enviados pelo Gov. Federal.",,,,
1367776748507705350,"@Ricamconsult A imprensa precionava para o Presidente comprar e liberar vacinas mesmo sabendo que por lei ele não poderia fazer,assim se ele o fizesse seria caçado, só agora o congresso aprovou uma emenda constitucional para isso, vocês menosprezam o povo mesmo.",,,,
1367776727632642048,"@DANFROES @GuuhDoug @MariaFDuarte1 @Rconstantino A forma de dar feedback de cada um é o tato com o trato pessoal, uma é política, o outro é um tio ouro, apesar de tudo, entendi o que ele disse, mesmo não concordando com a forma de dizer. Sobre as vacinas, os labs não estão conseguindo atender a demanda mundial.",,,,
1367776720309399555,"Dialogaremos sobre #COVIDeGênero na apresentação da última edição da revista #PensamentoIberoAmericano, que analisa o impacto diferenciado da pandemia nas mulheres.\n_xD83D__xDDD3_️9M | 16_xD83C__xDDEA__xD83C__xDDF8_\n_xD83D__xDDE3_️@RGrynspan @mnvonumujeres, Leire Pajín @ISGLOBALorg e @ManzanoCr\n+ ℹ️: https://t.co/PqJeS3y7MG https://t.co/DGXjEjeYEv",,,,
1367776716970680322,"@augustodefranco Se não fosse a vacina do Butantã, não haveria a de Oxford no Brasil. Essa última só foi viabilizada após a largada na frente da vacina “do Dória “.",,,,
1367776699837018113,"@FelicioRamuth Prefeito, a reportagem de hoje the Ovale vai contra seus argumentos e é motivo de grande preocupação: https://t.co/TE41TJAsWZ",,,,
1367776698096357382,"4 testes feitos, 1 positivo \nJa tamos free covid amen https://t.co/Y5Nb7EH3kx",,,,
1367776692358553600,@marcio37 1 ano graças a Deus não pegamos. E nem minha mãe que limpa farmácia e a sala onde faz os testes de covid.,,,,
1367776689414082560,Até  negativismo tem limite. Ou ele sai ou morremos.   #ForaBolsonaroGenocida https://t.co/gQm38hk1Jo,,,,
1367776689363820544,"@JornalOGlobo Vai empenhar essa merda para que, compra a porra da vacina, e para de frescura caralhouuuuu, é a vacina que vai resolver e em massa e não spray sem eficácia comprovada e ou divulgada",,,,
