data__id,data__text,meta__newest_id,meta__oldest_id,meta__result_count,meta__next_token
1367671952278716420,medo de covid não acabar nunca,1367671952278716420,1367671589672783875,100,b26v89c19zqg8o3fosnu6tjdspedxt2rh4q0qcflgvypp
1367671952270319616,@elizia_leite @LAMPIAO_U O tio do meu amigo tomou a vacina e logo após de ser injetada ele entrou em colapso e morreu por traumatismo intra abdominal,,,,
1367671949132972033,"@andrezadelgado @fabiofaria5555 @TatiNefertari Repetir mentiras é oq vcs fazem de melhor ! E essa narrativa aí que vc repete é uma mentira!! Já temos mais de 400 milhões de vacinas compradas ! Israel com 40 % soma 4 milhões de vacinados , o Brasil já vacinou mais de 7 milhões fora a segunda dose que já foi aplicada em muitos",,,,
1367671946104741894,@zionovisk @newcravoecanela @Bev_sz @plutwyodd @itsanacouto @skzartists @MoonMartin3z @obrenobrambati @terezanobre3 @rasqel @LuluGu23 @renegadeuchiha_ @lucaoao123 @camiladartico @bfhiago @eusousamir eu moro na vacina e ainda não vi a puta que pariu,,,,
1367671945131683841,Pelo menos tem um lado bom da reinfecção de covid quem sabe a gente da sorte numa segunda vez,,,,
1367671938408185862,queria que o bolsonaro pegasse covid e morresse,,,,
1367671937544171520,"Agora que eu tô com suspeita de covid surge 2 entrevista de trabalho, fala se não é um azar mesmo... _xD83D__xDE25_",,,,
1367671930577379329,pra mim tá meio que na cara que esse suposto covid é um afastamento porque a amante abriu o jogo perto da final https://t.co/HKlwubhJX7,,,,
1367671927855276035,"PS: o governo não tinha o poder de me comprar um rim, mas vacina sim. Bolsonaro genocida.",,,,
1367671925946732544,"Esta pergunta me parece direcionada a familiares, amigos q perderam alguém para o Covid. Pela inércia, começo acreditar que nenhuma das excelências deste país teve entre os seus vitima fatal do Covid. https://t.co/6FVdTmUVe9",,,,
1367671918200057859,@MIHAEKEEHL queria swr o ze vacina ainda sou so ze,,,,
1367671914722918405,Chorando por causa de um clipe do @HeJOficial pqp eu amo esses dois e nao consigo me conformar q o covid me tirou o show dos meus sonhos,,,,
1367671913183580161,"Lockdown das 22h as 5h só serve pra evitar chifres, não tem efeito contra covid",,,,
1367671912927748100,"isso acabou com minha noite total, só quem perdeu alguem pro covid sabe a dor... https://t.co/Wui8OB1xlE",,,,
1367671905659019264,"@damaceno_pamela @Tiagodasilvaco5 ""não sabemos se a vacina será 100%""\n\nMas não existe vacina 100%. E mesmo que não seja, ainda sim a letalidade será praticamente nula.",,,,
1367671904732147713,@adepttos @joao54781918 @monark Fico decepcionado com a forma como ti e as pessoas que favoritaram seu comentário não entenderam o que escrevi. Média móvel em 7 dias tem nada a ver com o estado que estava o covid no 7º dia seguinte. É apenas um dado que demonstra q em 2 meses o nº de óbitos n foi reduzido.,,,,
1367671904438517760,"Eu não acredito que tendo o Bolsonaro como presidente, alto índice de covid, lockdown vindo aí com força, as pessoas tão morrendo por dentro por macho. Puta que pariu!",,,,
1367671901808521219,"Eu acho que as pessoas que não querem o lockdown por conta de fechamento de empresas ( CNPJ ), precisam entender o seguinte:\n\nCPF compra, CNPJ vende. Se não houver CPF pra comprar, uma vez que estão morrendo por conta da covid, n haverá CNPJ pra vender. Oferta x demanda !! Pas",,,,
1367671900575572081,"uma amiga da minha mãe tava vindo aqui em casa todos os dias, já tinha passado dos limites porque ninguém aguentava mais, hoje descobrimos que ela foi fazer o teste de covid porque está com suspeita kk",,,,
