data__id,data__text,meta__newest_id,meta__oldest_id,meta__result_count,meta__next_token
1367656298435780614,Atualização dos dados do Brasil. #coronavirus #covid19 https://t.co/5U3nZdQoLm,1367656298435780614,1367655987373572096,100,b26v89c19zqg8o3fosnu6tisdxzrruleiuyw4roxrxhml
1367656295738863616,"Não lembro onde vi, mas achei interessante. Após a chegada das vacinas coincidentemente aumentou o número de casos do coronga._xD83E__xDD14_ #DoriaGenocida\nFoi começar a vachinação e o número de infetados disparou",,,,
1367656294853861381,"@JuMagalhaesBH Um dos poucos lugares do planeta que não sofreu muito com Covid, pense... Parece um filme trash chamado Premonição. Surreal",,,,
1367656284120621056,"Tô na minha toca desde março, dia 7, fará um ano de quarentena. \n\nEspero que estejamos todos bem pra nos comunicar, comemorar a vacina, o SUS, a ciência e a consciência. \n\nVamo q vamo. _xD83D__xDE4F__xD83C__xDFFD_✊_xD83C__xDFFD_\n\nHasta luego! Buenas. ❤️",,,,
1367656277623660546,Covid-19: HU de João Pessoa tem 50% de leitos de UTI ocupados  https://t.co/E3e4Ok3KIE,,,,
1367656277002838017,"@elizia_leite Meu filho de 37 anos tomou essa vacina e não teve problemas. Falta tomar a segunda dose, espero que continue bem.",,,,
1367656276315037697,Governo da Bahia anuncia medidas mais restritivas para 22 municípios; veja lista\nhttps://t.co/nqULyNKD20,,,,
1367656268429660167,"Deixa morrer, bom que economiza vacina _xD83D__xDE44_ https://t.co/okeSh4nHrF",,,,
1367656267481837569,62) 20/03/2020 - Coronavírus - Oficinas podem funcionar normalmente?⤵️ https://t.co/ur4UNwsded,,,,
1367656261026713601,@casaci\nO importante agora é os laboratórios fabricantes de vacina\nEntrarem com pedido de aprovação\nNa Anvisa\nSe não nada adianta,,,,
1367656259017662467,"só depois que atinge alguém da tua família que tu sabe como é perigoso mesmo o covid, relatos de tios e tias minhas que ficaram muito mal e graças a Deus estão bem já, e por último agora meu pai, horrível ver a situação que ele tava nesses últimos dias",,,,
1367656251379814406,Uma fdp dessa tinha que nem tomar vacina https://t.co/KiqgmWh8q3,,,,
1367656247458230276,Volta às aulas ? https://t.co/LXwiKdOS5x,,,,
1367656242336964608,@imjujubinha @trouxavcs pena que não tá podendo sair por conta do covid né...vou ter que continuar devendo _xD83E__xDD21_,,,,
1367656241590321155,Emoção em poder aplicar a 2° dose da vacina do covid em meus avós ❤️,,,,
1367656237505126400,"@lucker_w @OtavioVulcao @monark Não Sobraram tantas outras soluções pra se fazer, tratamento Precoce não existe e Vacina vai demorar meses pra ser aplicada de maneira eficiente, se criar a melhor mascara do mundo e distribuir de graça ainda vai ter gente q não usa. \n\nQUE ESTRATEGIA?",,,,
1367656236708151300,"Em 2022, em quem o povo irá votar?\n\nOpção 1. Em candidato que prende comerciante, defende lockdown e fecha a cidade gerando desemprego e fome?\n\nOpção 2. Em candidato que desde o início da pandemia defende o tratamento precoce, isolamento vertical e apenas vacinas homologadas?",,,,
1367656236662063106,Países com mais casos confirmados de #Coronavirus hoje (04/03)\n\n_xD83C__xDDE7__xD83C__xDDF7_ | 75.102      Brasil\n_xD83C__xDDFA__xD83C__xDDF8_ | 64.240      Estados Unidos\n_xD83C__xDDEB__xD83C__xDDF7_ | 25.279      França\n_xD83C__xDDEE__xD83C__xDDF9_ | 22.865      Itália\n_xD83C__xDDEE__xD83C__xDDF3_ | 16.824      Índia\n_xD83C__xDDF5__xD83C__xDDF1_ | 15.250      Polônia\n_xD83C__xDDE8__xD83C__xDDFF_ | 15.088      República Tcheca\n\n_xD83C__xDF0E_ Total: 441.967 novos casos https://t.co/EJi4MwqSdk,,,,
1367656235332493317,"Fã sites, juntem se a mim, a @KihabboFS, @Habbonight, @LeafHabbo e @RealLightHabbo no movimento ""Fã Sites Contra a Covid"", basta me chamar na DM que eu explico ❤️_xD83E__xDE90__xD83D__xDE37_",,,,
1367656231821836291,"@wizguh nossa a pessoa ia contrair covid se ao invés de ser grosso mandasse só um ""infelizmente não"" ????",,,,
1367656230311895041,@luvmikur mais de mil pessoas morrendo de covid por dia e ele lança uma dessas,,,,
1367656228533469184,"@salimmattarBR Realmente foi muito bom essa parte da economia se tivesse comprado a vacina quando bateu na porta do governo estariamos em queda e a economia voltaria esse ano a crescer. Mas e imcopetencia outras partes. Libera todas as vacina e compre, ficara mais barato q auxilio e ajuda a gov",,,,
1367656228357365761,04/03/2021 e tem um bolsominion no meu Facebook dependendo ivermectina e cloroquina. Eu acho que a covid-19 já levou esse. E ele não sabe.,,,,
1367656226318913537,DICA aos colegas de imprensa nas coberturas sobre o coronavirus:\n\nVariante linhagem e cepa NÃO são sinônimos.\n\nSegue o fio que eu explico! _xD83E__xDDF6_,,,,
1367656223760396292,@GloboNews Menos vacinas e vacinas sem registro.\nGoverno LIXO!,,,,
1367656219788390401,talvez covid talvez não que desgracaaaaa,,,,
