id,text,,,,
"1,3677767203094E+018","Dialogaremos sobre #COVIDeGênero na apresentação da última edição da revista #PensamentoIberoAmericano, que analisa o impacto diferenciado da pandemia nas mulheres.\n_xD83D__xDDD3_️9M | 16_xD83C__xDDEA__xD83C__xDDF8_\n_xD83D__xDDE3_️@RGrynspan @mnvonumujeres, Leire Pajín @ISGLOBALorg e @ManzanoCr\n+ ℹ️: https://t.co/PqJeS3y7MG https://t.co/DGXjEjeYEv",,,,
"1,36777671697068E+018","@augustodefranco Se não fosse a vacina do Butantã, não haveria a de Oxford no Brasil. Essa última só foi viabilizada após a largada na frente da vacina “do Dória “.",,,,
"1,36777669983702E+018","@FelicioRamuth Prefeito, a reportagem de hoje the Ovale vai contra seus argumentos e é motivo de grande preocupação: https://t.co/TE41TJAsWZ",,,,
"1,36777669809636E+018","4 testes feitos, 1 positivo \nJa tamos free covid amen https://t.co/Y5Nb7EH3kx",,,,
"1,36777669235855E+018",@marcio37 1 ano graças a Deus não pegamos. E nem minha mãe que limpa farmácia e a sala onde faz os testes de covid.,,,,
"1,36777668941408E+018",Até  negativismo tem limite. Ou ele sai ou morremos.   #ForaBolsonaroGenocida https://t.co/gQm38hk1Jo,,,,
"1,36777668936382E+018","@JornalOGlobo Vai empenhar essa merda para que, compra a porra da vacina, e para de frescura caralhouuuuu, é a vacina que vai resolver e em massa e não spray sem eficácia comprovada e ou divulgada",,,,
"1,36777668037543E+018",@janainalimasp @VemPraRua_br VAI COMPRAR VACINA! @jairbolsonaro VAI COMPRAR VACINA! VAI COMPRAR VACINA! VAI COMPRAR VACINA! VAI COMPRAR VACINA! @jairbolsonaro VAI COMPRAR VACINA! VAI COMPRAR VACINA! @jairbolsonaro VAI COMPRAR VACINA! VAI COMPRAR VACINA! VAI COMPRAR VACINA! @jairbolsonaro VAI COMPRAR VACINA!,,,,
"1,36777667351355E+018",Com Tramp: EUA vive dias de caos em relação as mortes por Covid-19! \n\nCom Biden: \n\nEntendedores vão entender! \n\n#FechadosComBolsonaroAte2026,,,,
"1,36777665739903E+018","@Silvio_CFilho Cara, a vida continua. Assim como o presidente, nós lamentamos todas as mortes, seja por covid-19, seja de fome, seja de acidente de trânsito. Há o momento do luto, mas pra quem ficar a vida tem que seguir!",,,,
"1,36777665636723E+018","A animação pro SEXTOU tá lá embaixo, cadê essas vacinas?",,,,
"1,3677766541358E+018","@monark Bora bater uma aposta? Vai dar de transporte público hoje, duas vezes por dia em horário de pico e vamo ver em quantos dias vc pega covid? Falar merda desse jeito é fácil no conforto da sua casinha de boy, pedindo ifood e maconha delivery _xD83D__xDD95__xD83C__xDFFB_",,,,
"1,36777665252098E+018","Bom dia ismael esse video do ônibus reflete o perigo que corremos todos os dias, e vemos que não tem nenhuma fiscalização,\nAglomeração,distanciamento social não existe para mim o foco de covid esta no ônibus e no metrô tbm #VCnoJM",,,,
