text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
augustodefranco se não fosse a vacina do butantã não haveria a de oxford no brasil essa última só foi viabilizada após a largada na frente da vacina “do dória “,0.45178999999999997,0.10279001,0.29605538,0.26477703,0.13884786,0.23619841
felicioramuth prefeito a reportagem de hoje the ovale vai contra seus argumentos e é motivo de grande preocupação,0.23414224,0.06522917,0.06844802,0.17539799,0.060686015,0.21723388
testes feitos  positivo nja tamos free covid amen,0.15275618,0.16100770000000003,0.0704452,0.08236081,0.13884786,0.15623248
ano graças a deus não pegamos e nem minha mãe que limpa farmácia e a sala onde faz os testes de covid,0.07751938,0.026125818,0.043209877,0.05548322,0.060686015,0.029333333
até  negativismo tem limite ou ele sai ou morremos   forabolsonarogenocida,0.92975205,0.35398229999999997,0.5346399000000001,0.57062554,0.46723908,0.45039085
jornaloglobo vai empenhar essa merda para que compra a porra da vacina e para de frescura caralhouuuuu é a vacina que vai resolver e em massa e não spray sem eficácia comprovada e ou divulgada,0.7326733,0.96320117,0.8082596,0.9532164000000001,0.9606127,0.9116665
janainalimasp vempraruabr vai comprar vacina jairbolsonaro vai comprar vacina vai comprar vacina vai comprar vacina vai comprar vacina jairbolsonaro vai comprar vacina vai comprar vacina jairbolsonaro vai comprar vacina vai comprar vacina vai comprar vacina jairbolsonaro vai comprar vacina,0.22395833,0.037125766,0.047009252,0.08563227,0.12686568,0.1466225
com tramp eua vive dias de caos em relação as mortes por  nncom biden nnentendedores vão entender,0.88135594,0.41745284,0.8082596,0.58085537,0.4920303,0.47906414
silviocfilho cara a vida continua assim como o presidente nós lamentamos todas as mortes seja por  seja de fome seja de acidente de trânsito há o momento do luto mas pra quem ficar a vida tem que seguir,0.88135594,0.41745284,0.6141949000000001,0.6640391999999999,0.60674155,0.63734776
a animação pro sextou tá lá embaixo cadê essas vacinas,0.18955298,0.5736271,0.15141243,0.54238683,0.39932153,0.45039085
monark bora bater uma aposta vai dar de transporte público hoje duas vezes por dia em horário de pico e vamo ver em quantos dias vc pega covid falar merda desse jeito é fácil no conforto da sua casinha de boy pedindo ifood e maconha delivery,0.8367346999999999,0.94192237,0.7366411999999999,0.8674699,0.8585903,0.83870023
bom dia ismael esse video do ônibus reflete o perigo que corremos todos os dias e vemos que não tem nenhuma fiscalizaçãonaglomeraçãodistanciamento social não existe para mim o foco de covid esta no ônibus e no metrô tbm vcnojm,0.52348995,0.13598393,0.45932537,0.28264275,0.32804233,0.22465739
governadores dizem que estados estão no limite e pedem a bolsonaro agilidade na compra de vacinas  via sputnikbrasil,0.20338501,0.055787052999999996,0.28314042,0.11214120000000001,0.060686015,0.21311082
o sus é referência mundial em vacinação mas pra isso ocorrer tem que ter vacina e ninguém no governo parece estar preocupado com isso,0.24110888,0.028844062,0.15141243,0.08244847,0.048826978,0.06760549
antoniosous se não fosse o empenho do doria com sua vacina nossa tragédia seria outra muito maior ne pare de passar vergonha com sua pesquisa  fajuta e sem fontes impeachmentbolsonarourgente,0.52348995,0.5763161,0.7366411999999999,0.800372,0.6696890999999999,0.80626047
jairbolsonaro a melhor vacina para o brasil é um impeachment,0.3563853,0.14914177,0.5125628,0.47102526,0.15652174,0.63734776
metropoles presidente do mimimi cadê a correção do imposto de renda cadê o combustível barato cadê as vacinas,0.22395833,0.35398229999999997,0.67753476,0.6152542,0.34962407,0.68898976
bolsonarosp vacinajá  vá trabalhar pelo brasil  precisamos de vacinas  vacinas dep,0.20488814,0.055601537,0.28728992,0.102470614,0.13884786,0.21493441
vai saber coisas como essa é que são estudadas na preparação de uma vacina não no caso do convid a pressa para lucrar foi ‍♀️,0.4653846,0.16146085,0.15258506,0.22336559,0.13884786,0.22480091
o desabafo de mônica waldvogel sobre a vacina neoliberal que transformou a nossa economia em jacaré   apostagem,0.21643518,0.17263843,0.6052632,0.32318908,0.13884786,0.45039085
jairbolsonaro itamaratygovbr ernestofaraujo compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.41745284,0.8025594,0.67148936,0.6696890999999999,0.71376973
não tem vacinas porque negou  milhões de doses da pfizer em julho de,0.07751938,0.021832807000000003,0.15403967,0.08244847,0.02917772,0.08919556
lettsilv  joaquinteixeira vacina é imunizante não tratamento precoce qual o problema em em usar todas as cartas da manga se existe a possibilidade use a,0.2877095,0.1298077,0.18624212,0.28289887,0.15652174,0.30414277
e a história se repeti s em pleno século xxi   pandemia,0.22912925,0.02694426,0.15141243,0.055042017,0.060686015,0.050847456
se depender desse pessoal só  pode tomar a vacina chinesa só  essa que salva as outras não,0.4653846,0.1298077,0.8568281999999999,0.4028394,0.32804233,0.45039085
